,variable,1-JS Divergence,1-NMSE,site,seed,algorithm
201,CANTAB_RTI_MovementTime_RawScore,0.0810635564602789,-0.0058779571761959,Average,4,Average
202,WCTS_NumberCategories_RawScore,5.119682455756447e-11,-0.0044627191127752,Average,4,Average
203,WMS_ImmediateThematicRecall_A_RawScore,3.4675595728117514e-11,-0.0014216748939133,Average,4,Average
204,CANTAB_RVP_ASim357246_RawScore,0.093820232561233,-0.0052847313761332,Average,4,Average
205,WMS_ImmediateStoryRecall_B_RawScore,0.0527054917145674,-0.0024430237462229,Average,4,Average
206,WMS_FreeRecall_RawScore,0.0420248899838725,-0.0049867831740986,Average,4,Average
207,CANTAB_SOCP_5MoveSTime_RawScore,0.0674154479123602,-0.0162504111694856,Average,4,Average
208,CANTAB_PAL_TotalErrors8_RawScore,1.909349345297073e-10,-0.0282018258748095,Average,4,Average
209,CANTAB_RTI_ReactionTime_RawScore,0.0800646056764516,-0.0075879557641105,Average,4,Average
210,WASI_WAIS3_MatrixReasoning_RawScore,4.5719761310181184e-11,-0.001185800282204,Average,4,Average
211,CANTAB_DMS_TotalCorrect_RawScore,0.3304370212661557,-0.0277786735131224,Average,4,Average
212,GroovedPegs_Dominant_RawScore,0.0140946676008362,-0.0016210336539561,Average,4,Average
213,Trailmaking_test_part_A,0.0033270978732693,-0.0022326133291303,Average,4,Average
214,CANTAB_ERT_PercentCorrect_RawScore,0.1869553924804157,-0.0317478650326328,Average,4,Average
215,CANTAB_DMS_TotalCorrectSimultaneous_RawScore,0.0710280016062805,-0.0500051964018388,Average,4,Average
216,CANTAB_SWM_Strategy_RawScore,0.0839777475412933,-0.0105504341137934,Average,4,Average
217,CANTAB_RVP_Latency357246_RawScore,0.0996109974966568,-0.0062493194638653,Average,4,Average
218,MCCB_Mazes_RawScore,5.792910595658896e-11,-0.0034254073064312,Average,4,Average
219,WCTS_PerservativeResponses_RawScore,1.0937994954218766e-10,-0.0049189377755889,Average,4,Average
220,WMS_ImmediateThematicRecall_B_RawScore,3.5801805964297267e-11,-0.0022257920549511,Average,4,Average
221,CANTAB_PAL_FirstTrial_RawScore,0.1349438242435285,-0.0460670902591833,Average,4,Average
222,CANTAB_RTI_ChoiceMovementTime_RawScore,0.0767448592531713,-0.0074214878456284,Average,4,Average
223,VF_MCCB_BACS_VerbalFluency_RawScore,0.0136940518874258,-0.0010055210885719,Average,4,Average
224,CANTAB_RTI_ChoiceReactionTime_RawScore,0.0611723789966851,-0.0056709464594428,Average,4,Average
225,CANTAB_SOCP_SolvedMinMoves_RawScore,5.6697646577674725e-11,-0.0077633954225915,Average,4,Average
226,CANTAB_SOCP_AMoveMoves_RawScore,0.0246100725187422,-0.0298793299019333,Average,4,Average
227,CANTAB_DMS_CorrectLatencyAllDelays_RawScore,0.1284309353091395,-0.0290679601015204,Average,4,Average
228,CVLT_HVLT_Total_Delayedrecall_RawRelative,4.343825299457649e-11,-0.0011954816050099,Average,4,Average
229,WASI_WAIS3_BlockDesign_RawScore,7.268874391286316e-11,-0.0008762388486915,Average,4,Average
230,CANTAB_RVP_Latency357_RawScore,0.0917582965632681,-0.0131408221526407,Average,4,Average
231,WAIS3_DigitSpanForward_RawScore,3.3603120286329607e-11,-0.0019640655671755,Average,4,Average
