,Age,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
Age,91.07136705746129,-6.60796903553746,-6.60796903553746,-0.2800712940052539,7.182339588488105,15.855174191733989,11.422863910144464,15.855174191733989,5.836498236403887,7.8909978753625625,0.011393689239180957,2.9238215319750833,-1.4469483693355936,-1.1759384307254903,-1.2005378472175907,7.408701958775202,1.682518043303924,4.112660013662414,3.055832911844328,-0.21117366885083794,0.3445883731316868,-0.4113951446628989,0.24360274458700187,-12.943514876768836,4.133942401607207,-0.22516994678820337,-1.192242279196484,-1.6008469757534247,-1.6143603975184906,-1.962744948273369,-0.588083781008387,15.463750992357536,21.774719236802046,7.367351903244631,6.473689485044706,-0.3219246889177884,4.05539731092678,-19.262518893837925,-0.513771787545373,4.55954383621492,-19.262518893837925,0.7592297340048904,2.5071834246430678,0.7592297340048904,-1.3966642804723715,-18.655444800122503,0.8715732223978006,0.42365078721900873,0.12633998316158507,0.8148883516199713,12.428542075910489
var_1,-6.60796903553746,12.702678523449993,12.702678523449993,0.12159609899259752,21.339442053717182,7.2676009255001475,26.515934222339023,7.2676009255001475,8.896289240695738,-1.234646457999792,-2.405116587761598,0.8222779693469604,-0.5617005433867261,-1.3469602772188267,-0.8776094529788753,-7.025039521801724,0.6658938912510357,1.1945588520400279,1.168830360200484,1.024573035506073,1.2353201185821951,3.9231715402729512,4.202554547048035,8.711670664390986,-9.743923581961031,0.4701417825639949,0.7319423399534618,2.7963930339845198,1.3616334758374469,5.297445749228879,2.415060676984695,-7.824723629605115,-7.7962841583485325,6.334565619223697,8.002026786003878,7.9069283719074255,23.43451217079009,21.14786347218576,12.824990938972405,30.475441490757774,21.14786347218576,4.696974241685707,12.617268443877881,4.696974241685707,0.9744409232509502,9.92064746070078,1.024104714110013,1.192281104956502,0.8345617610356497,1.0150433765153355,8.03805079442263
var_2,-6.60796903553746,12.702678523449993,12.702678523449993,0.12159609899259752,21.339442053717182,7.2676009255001475,26.515934222339023,7.2676009255001475,8.896289240695738,-1.234646457999792,-2.405116587761598,0.8222779693469604,-0.5617005433867261,-1.3469602772188267,-0.8776094529788753,-7.025039521801724,0.6658938912510357,1.1945588520400279,1.168830360200484,1.024573035506073,1.2353201185821951,3.9231715402729512,4.202554547048035,8.711670664390986,-9.743923581961031,0.4701417825639949,0.7319423399534618,2.7963930339845198,1.3616334758374469,5.297445749228879,2.415060676984695,-7.824723629605115,-7.7962841583485325,6.334565619223697,8.002026786003878,7.9069283719074255,23.43451217079009,21.14786347218576,12.824990938972405,30.475441490757774,21.14786347218576,4.696974241685707,12.617268443877881,4.696974241685707,0.9744409232509502,9.92064746070078,1.024104714110013,1.192281104956502,0.8345617610356497,1.0150433765153355,8.03805079442263
var_3,-0.2800712940052539,0.12159609899259752,0.12159609899259752,0.011711055621129481,0.16137544286646816,0.08840142393373282,0.2670441900082618,0.08840142393373282,0.13636523640722403,0.16685899849029978,-0.197891872656889,0.08176848642616599,-0.01040453424063537,-0.11030484541038499,-0.020118540739545922,-0.45973378819407895,0.06177048816812512,0.09074134025353353,0.09544905762255801,0.02253896879442738,0.02785171584844077,0.0998552899671891,0.089759997098971,0.1680265211609659,-0.4997311766331743,0.02357740548164045,0.029924619773956766,0.09789293224669636,0.050640637562547476,0.1742362253535234,0.07875897302966099,-0.31488147452211784,-0.3328641010555996,0.18074728951151692,0.22104222266977336,0.12351674037864659,0.29125527899707354,0.43206913251596657,0.24372853994559243,0.35134263251666026,0.43206913251596657,0.07188996024257159,0.1836218801944681,0.07188996024257159,0.03208747422695836,0.970832223608755,0.0418103572964017,0.052591693175368416,0.03836153280645115,0.04210614253751372,0.28116562339450907
var_4,7.182339588488105,21.339442053717182,21.339442053717182,0.16137544286646816,42.6517912996924,16.718829694833094,53.04271895768904,16.718829694833094,17.569863583612484,-0.07028823956759943,-4.457224975105848,2.1116469138647775,-1.3589409844265952,-2.691150290882237,-1.8242119688679839,-11.770933345786199,1.6016001112915004,3.0292902355028923,2.9167522804395776,1.807574739670811,2.333182428924789,7.329657678566011,7.860111613277549,13.468873896770013,-16.731620573602616,0.739478450327917,1.1488070127287033,5.000908103639016,2.1974871281391755,9.391494321810939,4.187522554346453,-11.665901780400295,-9.684153608433624,13.334711547815884,16.78900432324119,15.345116719872314,45.84207901037509,36.02081536750274,24.517109719670536,59.46068138927427,36.02081536750274,9.274949070775973,24.691187682001683,9.274949070775973,1.4443840953774645,14.144893122301111,2.014476294786738,2.313347817109409,1.6413873901372684,2.026588502156111,17.17207837522685
var_5,15.855174191733989,7.2676009255001475,7.2676009255001475,0.08840142393373282,16.718829694833094,52.02950944112351,61.962729486082665,52.02950944112351,52.99259453896511,7.509228527661762,-3.7492394383736545,2.025386151471887,-2.0532277465918165,-4.298075031928479,-2.061908580593414,-11.879299039005074,2.6980397398200147,3.6067161186848296,3.3692704769271953,1.5479389507134704,2.192963948683302,7.211049012230146,7.269069474897081,7.362272066131467,-14.73220910947166,2.1510349568449745,1.85542684013545,7.592957710619456,3.7974285205081952,16.068997122998187,8.234753163428994,-6.419907016521731,-6.3866009134616935,10.890982026979241,9.774369422438674,26.186632083000838,50.89530626496406,16.53141489507956,13.058291777586124,26.41372152025293,16.53141489507956,16.077228700336207,62.543911614362734,16.077228700336207,0.8206369788078942,8.118202160181157,2.978906942924923,2.9573163868516117,1.996659327993664,2.8383120751936355,23.83565219354693
var_6,11.422863910144464,26.515934222339023,26.515934222339023,0.2670441900082618,53.04271895768904,61.962729486082665,108.4595808973263,61.962729486082665,68.35077975916307,6.093396016010305,-7.782548147555159,3.6723001871157503,-3.022444979060858,-6.608693486590038,-3.3892118863049205,-22.551834518461384,4.005283984409868,5.965329802743169,5.605871150312691,3.214416389720116,4.2531682226236605,13.991855257603406,14.251989188741945,21.0533500888012,-29.533016849755708,2.891544669908592,3.100292792219364,12.481620286681762,6.105771825750439,24.958377676502767,12.093830995238953,-17.841344529511822,-16.6933061189311,21.05598725459967,23.52848614109023,39.79335857923089,90.46405459112903,50.206410285316444,34.320687124064605,77.33137302058515,50.206410285316444,23.948732498102316,84.158374481112,23.948732498102316,2.388571480025755,24.0313334323829,4.7183165174169615,5.086132609370973,3.4027693360526983,4.569381225303261,37.758703063966216
var_7,15.855174191733989,7.2676009255001475,7.2676009255001475,0.08840142393373282,16.718829694833094,52.02950944112351,61.962729486082665,52.02950944112351,52.99259453896511,7.509228527661762,-3.7492394383736545,2.025386151471887,-2.0532277465918165,-4.298075031928479,-2.061908580593414,-11.879299039005074,2.6980397398200147,3.6067161186848296,3.3692704769271953,1.5479389507134704,2.192963948683302,7.211049012230146,7.269069474897081,7.362272066131467,-14.73220910947166,2.1510349568449745,1.85542684013545,7.592957710619456,3.7974285205081952,16.068997122998187,8.234753163428994,-6.419907016521731,-6.3866009134616935,10.890982026979241,9.774369422438674,26.186632083000838,50.89530626496406,16.53141489507956,13.058291777586124,26.41372152025293,16.53141489507956,16.077228700336207,62.543911614362734,16.077228700336207,0.8206369788078942,8.118202160181157,2.978906942924923,2.9573163868516117,1.996659327993664,2.8383120751936355,23.83565219354693
var_8,5.836498236403887,8.896289240695738,8.896289240695738,0.13636523640722403,17.569863583612484,52.99259453896511,68.35077975916307,52.99259453896511,59.237463779222956,7.307211882710489,-4.040433465126657,1.9171184553644607,-2.046663102557245,-4.615039910600252,-2.066431286940505,-13.697673975781763,2.821086162345179,3.69053580444918,3.3963806491922273,1.8121497947607705,2.405304962974203,8.205155736651818,8.055095127119626,10.253332931449423,-16.929317817523103,2.373167502609667,2.239678013426013,8.746050699730972,4.4628052040634385,18.191351172441905,9.214893364225032,-8.447414248380737,-9.181769473786563,10.540293525711308,9.699345611734177,29.63707851157223,56.03657472067035,20.64696736780278,14.136219114393915,27.862794795845726,20.64696736780278,17.783215227525528,69.99507580018249,17.783215227525528,1.2015276145710938,12.411476694085406,3.2363232798015336,3.363950907429157,2.1133960047003515,3.0508116812464636,24.673851294903876
var_9,7.8909978753625625,-1.234646457999792,-1.234646457999792,0.16685899849029978,-0.07028823956759943,7.509228527661762,6.093396016010305,7.509228527661762,7.307211882710489,149.13625423146297,-8.882190912042326,4.487906531230442,0.29985298048649767,-7.072457795004418,0.9566893878642097,-13.591102168932787,4.330787539793535,2.7281455475885563,3.867412947556219,-0.41006598507159175,0.8814432910572729,-16.514838726452936,0.9258462251597724,-21.169403127206472,-11.52510486851422,0.19242111396181963,0.5738612164514653,-0.2679493207674801,0.06138647259044035,-0.4327070833035294,0.16131049122118266,13.649118087806139,15.49250324458276,-14.323330930559772,-17.657227199395454,23.279815857265206,21.725063900089538,5.942680416522322,6.358648769710289,9.787461058014154,5.942680416522322,13.05018294554936,27.97001404176315,13.05018294554936,0.7140734719682094,15.565792860529697,2.2875657612499687,2.365296123190863,1.8023120865226154,2.2564654880444337,17.631318507111164
